source,target,distance_km,intersections
970,2000,1.7236045688356412,1
970,2200,5.6688815790929254,1
970,2820,9.648408377280317,1
970,2825,9.311801654893541,1
970,2827,9.655463752101717,1
970,2846,3.01426023882577,1
970,3001,8.433149857416236,1
970,3002,8.133411671649986,1
970,3120,5.7799742663463185,1
970,3122,5.358085585077598,1
970,3126,4.410709002337402,1
970,3127,4.81699473899992,1
970,3180,7.916175514083351,1
970,3662,8.578370856687139,1
970,3682,3.3781792147572327,1
970,3685,1.388490907417937,1
970,3804,4.538261974610328,1
970,3812,4.2419098159870865,1
970,4030,8.342097632518295,1
970,4032,7.703589893942237,1
970,4034,6.791782732566247,1
970,4035,6.255777712808724,1
970,4040,4.975942286101873,1
970,4043,4.083202137652521,1
970,4051,8.326505629192935,1
970,4057,7.025128089138394,1
970,4063,5.97798205731604,1
970,4262,8.41239163110248,1
970,4263,7.62849614416435,1
970,4264,6.964352601443419,1
970,4266,14493.733731687395,1
970,4270,6.620787808356341,1
970,4272,5.553614888798645,1
970,4273,4.787634039260894,1
970,4321,8.243954511159457,1
970,4324,7.99803419253967,1
970,4335,8.380419486592217,1
970,4812,7.861937170449502,1
970,4821,9.462871516489951,1
2000,970,1.7236045688356412,1
2000,2200,3.9472064626578454,1
2000,2820,8.439825640900995,1
2000,2825,7.7729370802337145,1
2000,2827,8.008068240049063,1
2000,2846,3.3610384056593046,1
2000,3001,7.554215045529439,1
2000,3002,7.2182579219656375,1
2000,3120,4.581459742305381,1
2000,3122,4.0515846259989665,1
2000,3126,2.687129787571221,1
2000,3127,3.2899579482646084,1
2000,3180,6.24948264957648,1
2000,3662,7.561279335919962,1
2000,3682,1.6545746459239543,1
2000,3685,0.3351267631352136,1
2000,3804,3.4652843884144784,1
2000,3812,3.317416663605415,1
2000,4030,6.8333089696135145,1
2000,4032,6.23973138963214,1
2000,4034,5.420392555038822,1
2000,4035,4.963194661661642,1
2000,4040,4.023284319062357,1
2000,4043,3.691856927883478,1
2000,4051,6.752279692217437,1
2000,4057,5.378575252132151,1
2000,4063,4.368651319505675,1
2000,4262,7.729308118281283,1
2000,4263,6.872272832950126,1
2000,4264,6.127793267392769,1
2000,4266,14495.042436261914,1
2000,4270,5.921147864628764,1
2000,4272,4.730502240921717,1
2000,4273,4.479681012388642,1
2000,4321,6.898048612779294,1
2000,4324,6.879852441273245,1
2000,4335,7.2480790224338145,1
2000,4812,7.307198293522665,1
2000,4821,8.688963030177971,1
2200,970,5.6688815790929254,1
