model,mae,rmse,mape_percent
transformer,13.407855987548828,20.31608009338379,8640.3876953125
bilstm,13.823143005371094,20.800521850585938,10565.1298828125
lstm,14.19098949432373,21.03282356262207,13082.603515625
gru,14.453629493713379,21.175119400024414,13084.2314453125
